date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,603160,49.47,50.38,50.44,48.89,21104,106944868.0,3.13,1.82,0.9,0.46
2023-01-04,603160,50.37,50.09,51.13,49.78,20763,106023873.0,2.68,-0.58,-0.29,0.45
2023-01-05,603160,50.08,51.26,51.78,49.79,30931,160250395.0,3.97,2.34,1.17,0.68
2023-01-06,603160,51.26,50.95,51.65,50.88,18587,96540770.0,1.5,-0.6,-0.31,0.41
2023-01-09,603160,51.25,51.04,51.95,50.86,22578,117368752.0,2.14,0.18,0.09,0.49
2023-01-10,603160,51.03,51.36,51.85,50.78,20202,105218698.0,2.1,0.63,0.32,0.44
2023-01-11,603160,51.28,50.53,51.78,50.34,21683,112233853.0,2.8,-1.62,-0.83,0.47
2023-01-12,603160,50.53,50.62,51.04,50.28,19731,101344274.0,1.5,0.18,0.09,0.43
2023-01-13,603160,50.63,50.63,50.97,50.28,12381,63485058.0,1.36,0.02,0.01,0.27
2023-01-16,603160,50.39,51.58,52.07,50.34,38545,201059338.0,3.42,1.88,0.95,0.84
2023-01-17,603160,51.58,52.12,52.76,51.48,28282,149808695.0,2.48,1.05,0.54,0.62
2023-01-18,603160,52.27,51.91,52.38,51.77,14681,77415461.0,1.17,-0.4,-0.21,0.32
2023-01-19,603160,51.88,52.53,52.59,51.52,22413,118831406.0,2.06,1.19,0.62,0.49
2023-01-20,603160,52.49,52.45,52.74,52.21,21219,112796106.0,1.01,-0.15,-0.08,0.46
2023-01-30,603160,53.08,52.54,53.37,52.48,27115,145357424.0,1.7,0.17,0.09,0.59
2023-01-31,603160,52.14,51.36,52.44,51.23,38166,199842205.0,2.3,-2.25,-1.18,0.83
2023-02-01,603160,51.68,52.38,52.7,51.53,35606,188261922.0,2.28,1.99,1.02,0.78
2023-02-02,603160,52.57,52.74,53.38,52.32,36872,197720957.0,2.02,0.69,0.36,0.81
2023-02-03,603160,52.68,53.41,53.69,52.26,33428,179631884.0,2.71,1.27,0.67,0.73
2023-02-06,603160,53.19,53.13,53.63,52.6,24992,134446618.0,1.93,-0.52,-0.28,0.55
2023-02-07,603160,53.17,53.57,54.03,52.81,33245,179755504.0,2.3,0.83,0.44,0.73
2023-02-08,603160,53.58,52.92,55.15,52.86,48126,263358934.0,4.27,-1.21,-0.65,1.05
2023-02-09,603160,52.94,54.67,54.83,52.44,61463,336239755.0,4.52,3.31,1.75,1.34
2023-02-10,603160,54.73,55.0,56.04,54.38,52316,293192948.0,3.04,0.6,0.33,1.14
2023-02-13,603160,55.26,55.97,56.07,54.74,44531,251038118.0,2.42,1.76,0.97,0.97
2023-02-14,603160,55.79,56.63,58.86,55.79,74828,434563362.0,5.49,1.18,0.66,1.63
2023-02-15,603160,56.49,57.35,57.58,56.39,46708,270369500.0,2.1,1.27,0.72,1.02
2023-02-16,603160,57.44,55.7,57.58,55.16,63878,365697614.0,4.22,-2.88,-1.65,1.39
2023-02-17,603160,55.39,54.19,55.92,54.09,44606,247566126.0,3.29,-2.71,-1.51,0.97
2023-02-20,603160,54.08,54.51,54.63,53.58,39778,217951639.0,1.94,0.59,0.32,0.87
2023-02-21,603160,54.5,54.74,55.28,53.98,34456,190628721.0,2.38,0.42,0.23,0.75
2023-02-22,603160,54.41,54.34,54.99,54.09,23035,126966406.0,1.64,-0.73,-0.4,0.5
2023-02-23,603160,54.34,54.01,54.63,53.63,24758,135797917.0,1.84,-0.61,-0.33,0.54
2023-02-24,603160,54.18,53.58,54.78,53.44,28553,156205416.0,2.48,-0.8,-0.43,0.62
2023-02-27,603160,53.31,52.42,53.61,52.28,32859,175734817.0,2.48,-2.16,-1.16,0.72
