date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,688008,61.52,61.41,62.08,60.15,88879,554540454.0,3.14,-0.02,-0.01,0.78
2023-01-04,688008,61.81,62.06,62.7,60.33,107801,675368052.0,3.86,1.06,0.65,0.95
2023-01-05,688008,61.7,63.95,65.97,61.42,125958,819035203.0,7.33,3.05,1.89,1.11
2023-01-06,688008,63.67,62.87,64.31,62.15,72197,466103339.0,3.38,-1.69,-1.08,0.64
2023-01-09,688008,62.9,62.67,65.13,62.09,83074,535727497.0,4.84,-0.32,-0.2,0.73
2023-01-10,688008,62.83,62.28,63.55,62.07,54299,346515720.0,2.36,-0.62,-0.39,0.48
2023-01-11,688008,62.31,62.55,64.06,61.7,91998,588772301.0,3.79,0.43,0.27,0.81
2023-01-12,688008,63.26,62.25,63.55,61.64,62301,395208505.0,3.05,-0.48,-0.3,0.55
2023-01-13,688008,62.72,60.32,62.73,59.63,95418,588378413.0,4.98,-3.1,-1.93,0.84
2023-01-16,688008,60.12,60.32,60.92,59.3,122367,749338834.0,2.69,0.0,0.0,1.08
2023-01-17,688008,60.33,60.96,61.78,60.02,102718,638562488.0,2.92,1.06,0.64,0.91
2023-01-18,688008,61.32,60.96,61.52,60.23,65276,404223996.0,2.12,0.0,0.0,0.58
2023-01-19,688008,60.81,61.79,61.82,60.22,83351,518981527.0,2.62,1.36,0.83,0.73
2023-01-20,688008,61.82,63.47,63.47,61.81,74127,474847293.0,2.69,2.72,1.68,0.65
2023-01-30,688008,64.04,58.66,64.97,57.7,226521,1382711004.0,11.45,-7.58,-4.81,2.0
2023-01-31,688008,56.42,54.23,56.42,52.92,289878,1606593084.0,5.97,-7.55,-4.43,2.56
2023-02-01,688008,54.15,55.2,55.59,54.15,114034,641475880.0,2.66,1.79,0.97,1.01
2023-02-02,688008,55.81,55.35,55.97,54.84,109957,622565411.0,2.05,0.27,0.15,0.97
2023-02-03,688008,55.27,55.33,55.91,54.37,85966,484258266.0,2.78,-0.04,-0.02,0.76
2023-02-06,688008,55.34,55.7,55.98,55.13,80597,458222804.0,1.54,0.67,0.37,0.71
2023-02-07,688008,55.59,55.7,55.88,55.42,58025,329615492.0,0.83,0.0,0.0,0.51
2023-02-08,688008,55.84,55.95,57.61,55.84,99042,572694731.0,3.18,0.45,0.25,0.87
2023-02-09,688008,55.64,59.78,59.91,55.06,208516,1244837181.0,8.67,6.85,3.83,1.84
2023-02-10,688008,60.31,59.72,62.18,59.32,176948,1092663075.0,4.78,-0.1,-0.06,1.56
2023-02-13,688008,58.84,61.67,62.12,58.49,176693,1097812979.0,6.08,3.27,1.95,1.56
2023-02-14,688008,61.55,61.62,62.5,59.8,138567,866548628.0,4.38,-0.08,-0.05,1.22
2023-02-15,688008,62.12,64.37,64.41,60.91,161773,1041313520.0,5.68,4.46,2.75,1.42
2023-02-16,688008,64.52,61.71,66.62,61.48,180007,1166774450.0,7.99,-4.13,-2.66,1.58
2023-02-17,688008,60.94,59.87,61.71,59.47,138308,851795492.0,3.63,-2.98,-1.84,1.22
2023-02-20,688008,60.34,59.92,60.66,58.7,91302,555393631.0,3.27,0.08,0.05,0.8
2023-02-21,688008,59.83,57.1,60.26,56.17,176403,1037533876.0,6.83,-4.71,-2.82,1.55
2023-02-22,688008,56.79,57.0,57.86,56.59,80946,473106507.0,2.22,-0.18,-0.1,0.71
2023-02-23,688008,56.77,56.54,57.39,56.23,60479,350554507.0,2.04,-0.81,-0.46,0.53
2023-02-24,688008,56.82,57.15,57.97,56.72,83708,489006434.0,2.21,1.08,0.61,0.74
2023-02-27,688008,57.13,56.82,58.1,56.32,73630,430148573.0,3.11,-0.58,-0.33,0.65
2023-02-28,688008,57.47,56.59,58.09,55.89,77123,447795563.0,3.87,-0.4,-0.23,0.68
2023-03-01,688008,56.2,56.3,57.13,55.4,96566,553962515.0,3.06,-0.51,-0.29,0.85
2023-03-02,688008,56.31,55.68,56.92,55.42,81609,466511800.0,2.66,-1.1,-0.62,0.72
2023-03-03,688008,56.3,56.44,56.79,55.63,110289,633825731.0,2.08,1.36,0.76,0.97
