date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,688111,261.68,281.43,282.47,260.37,36994,1027921742.0,8.44,7.42,19.45,0.8
2023-01-04,688111,282.49,279.07,283.29,275.09,18451,519087937.0,2.91,-0.84,-2.36,0.4
2023-01-05,688111,280.1,273.29,280.1,271.5,22539,622010016.0,3.08,-2.07,-5.78,0.49
2023-01-06,688111,274.0,275.98,278.44,267.49,23519,652488119.0,4.01,0.98,2.69,0.51
2023-01-09,688111,274.49,270.76,274.49,267.37,20542,560389649.0,2.58,-1.89,-5.22,0.45
2023-01-10,688111,272.49,269.86,272.63,266.58,13258,360574743.0,2.23,-0.33,-0.9,0.29
2023-01-11,688111,270.4,265.05,272.49,263.69,15383,415725905.0,3.26,-1.78,-4.81,0.33
2023-01-12,688111,264.61,268.3,275.99,263.04,20665,562541158.0,4.89,1.23,3.25,0.45
2023-01-13,688111,268.25,266.0,268.25,262.48,15489,414094983.0,2.15,-0.86,-2.3,0.34
2023-01-16,688111,266.0,276.48,279.77,264.99,25200,703084510.0,5.56,3.94,10.48,0.55
2023-01-17,688111,275.49,274.39,279.79,272.94,10806,300110067.0,2.48,-0.76,-2.09,0.23
2023-01-18,688111,274.39,280.24,286.37,273.0,27404,779706588.0,4.87,2.13,5.85,0.59
2023-01-19,688111,281.48,292.17,297.57,278.5,31107,913802971.0,6.8,4.26,11.93,0.67
2023-01-20,688111,291.74,292.19,300.79,288.49,22127,655930866.0,4.21,0.01,0.02,0.48
2023-01-30,688111,304.49,299.57,326.17,293.87,52890,1626892481.0,11.05,2.53,7.38,1.15
2023-01-31,688111,300.49,278.79,301.49,277.48,43970,1269682024.0,8.01,-6.94,-20.78,0.95
2023-02-01,688111,285.49,288.49,289.43,278.0,37218,1063928434.0,4.1,3.48,9.7,0.81
2023-02-02,688111,290.49,303.67,315.37,290.49,43655,1338455478.0,8.62,5.26,15.18,0.95
2023-02-03,688111,302.51,320.49,320.49,302.51,51056,1613900050.0,5.92,5.54,16.82,1.11
2023-02-06,688111,323.46,312.28,342.49,306.06,80706,2601428619.0,11.37,-2.56,-8.21,1.75
2023-02-07,688111,317.39,300.49,317.46,292.49,75484,2299932192.0,8.0,-3.78,-11.79,1.64
2023-02-08,688111,297.49,300.86,304.45,293.12,43569,1316999002.0,3.77,0.12,0.37,0.94
2023-02-09,688111,297.92,315.49,316.99,289.49,45932,1405154757.0,9.14,4.86,14.63,1.0
2023-02-10,688111,312.26,292.07,313.44,288.15,56083,1674394985.0,8.02,-7.42,-23.42,1.22
2023-02-13,688111,289.5,287.41,294.37,283.49,48164,1399090602.0,3.73,-1.6,-4.66,1.04
2023-02-14,688111,291.88,294.18,300.47,287.49,38978,1159719103.0,4.52,2.36,6.77,0.85
2023-02-15,688111,294.34,292.72,298.08,285.49,34894,1022402444.0,4.28,-0.5,-1.46,0.76
2023-02-16,688111,292.72,295.35,305.58,291.49,35522,1069836198.0,4.81,0.9,2.63,0.77
2023-02-17,688111,293.84,275.11,295.35,274.51,48680,1375349399.0,7.06,-6.85,-20.24,1.06
2023-02-20,688111,272.49,279.78,282.49,270.99,27373,767519372.0,4.18,1.7,4.67,0.59
2023-02-21,688111,277.49,275.59,284.47,271.61,34416,956423432.0,4.6,-1.5,-4.19,0.75
2023-02-22,688111,272.49,277.49,281.29,268.49,33301,926106333.0,4.64,0.69,1.9,0.72
2023-02-23,688111,274.71,274.13,281.09,271.56,18132,504209106.0,3.43,-1.21,-3.36,0.39
2023-02-24,688111,274.24,278.56,280.59,270.62,25868,724133656.0,3.64,1.62,4.43,0.56
2023-02-27,688111,280.47,286.2,290.82,276.77,35490,1020628836.0,5.04,2.74,7.64,0.77
2023-02-28,688111,290.09,288.49,300.39,284.39,37233,1089721041.0,5.59,0.8,2.29,0.81
2023-03-01,688111,289.47,297.49,300.54,285.49,32230,958826184.0,5.22,3.12,9.0,0.7
2023-03-02,688111,294.87,302.99,314.49,291.51,37503,1149397339.0,7.72,1.85,5.5,0.81
2023-03-03,688111,303.15,296.49,304.07,292.26,26671,798785690.0,3.9,-2.15,-6.5,0.58
2023-03-06,688111,298.99,292.2,298.99,290.29,19793,584109753.0,2.93,-1.45,-4.29,0.43
2023-03-07,688111,295.17,283.2,295.17,282.25,20545,594114714.0,4.42,-3.08,-9.0,0.45
2023-03-08,688111,281.47,304.31,304.31,279.49,50245,1495297523.0,8.76,7.45,21.11,1.09
2023-03-09,688111,300.12,307.49,311.09,293.99,37946,1160237951.0,5.62,1.04,3.18,0.82
2023-03-10,688111,303.35,300.37,313.72,298.87,26699,821134592.0,4.83,-2.32,-7.12,0.58
2023-03-13,688111,300.38,321.48,324.29,294.69,42406,1345849367.0,9.85,7.03,21.11,0.92
2023-03-14,688111,318.69,319.47,325.26,313.49,30075,968818175.0,3.66,-0.63,-2.01,0.65
2023-03-15,688111,323.49,305.82,340.25,304.5,60061,1924918322.0,11.19,-4.27,-13.65,1.3
2023-03-16,688111,302.77,307.15,312.99,300.07,33331,1030084550.0,4.22,0.43,1.33,0.72
2023-03-17,688111,324.49,354.99,369.08,320.65,101973,3521420171.0,15.77,15.58,47.84,2.21
2023-03-20,688111,359.49,341.47,364.99,340.49,72004,2542550171.0,6.9,-3.81,-13.52,1.56
2023-03-21,688111,338.43,336.79,347.49,330.54,43482,1481165993.0,4.96,-1.37,-4.68,0.94
2023-03-22,688111,331.52,323.41,332.49,316.49,73957,2403977176.0,4.75,-3.97,-13.38,1.6
2023-03-23,688111,321.8,358.31,362.49,320.31,92061,3189814049.0,13.04,10.79,34.9,2.0
2023-03-24,688111,351.1,389.49,395.5,345.49,95510,3575036988.0,13.96,8.7,31.18,2.07
2023-03-27,688111,385.91,388.86,417.49,369.82,94266,3724253757.0,12.24,-0.16,-0.63,2.04
2023-03-28,688111,404.12,398.5,423.49,395.51,80596,3322422209.0,7.2,2.48,9.64,1.75
2023-03-29,688111,390.34,447.49,468.06,386.51,89152,3823490742.0,20.46,12.29,48.99,1.93
2023-03-30,688111,452.89,436.37,452.89,426.71,64086,2813104350.0,5.85,-2.48,-11.12,1.39
2023-03-31,688111,430.94,470.49,477.23,420.49,63495,2864747955.0,13.0,7.82,34.12,1.38
2023-04-03,688111,479.49,509.41,521.75,477.74,80859,4087633673.0,9.35,8.27,38.92,1.75
2023-04-04,688111,503.98,484.0,513.42,466.5,94912,4701282226.0,9.21,-4.99,-25.41,2.06
2023-04-06,688111,467.39,469.49,496.49,445.51,92795,4392338836.0,10.53,-3.0,-14.51,2.01
2023-04-07,688111,463.49,467.83,478.49,448.51,63674,2970003178.0,6.39,-0.35,-1.66,1.38
2023-04-10,688111,463.43,420.49,463.43,414.49,95842,4192070007.0,10.46,-10.12,-47.34,2.08
2023-04-11,688111,424.37,428.79,443.49,420.46,66312,2863750833.0,5.48,1.97,8.3,1.44
2023-04-12,688111,427.07,437.48,453.78,409.37,100100,4314498618.0,10.36,2.03,8.69,2.17
2023-04-13,688111,426.49,407.08,431.01,402.49,88067,3679949949.0,6.52,-6.95,-30.4,1.91
2023-04-14,688111,411.59,415.49,422.14,405.49,65549,2740174767.0,4.09,2.07,8.41,1.42
2023-04-17,688111,409.49,424.76,433.18,409.49,69364,2948930408.0,5.7,2.23,9.27,1.5
2023-04-18,688111,418.64,439.04,454.49,411.51,108761,4705778921.0,10.12,3.36,14.28,2.36
2023-04-19,688111,428.95,440.49,462.32,428.54,64176,2888623770.0,7.69,0.33,1.45,1.39
2023-04-20,688111,444.43,477.49,482.49,444.43,77437,3643195440.0,8.64,8.4,37.0,1.68
2023-04-21,688111,470.29,445.49,480.49,445.49,49062,2267799559.0,7.33,-6.7,-32.0,1.06
2023-04-24,688111,449.49,437.69,460.17,431.15,51323,2290807955.0,6.51,-1.75,-7.8,1.11
2023-04-25,688111,437.49,443.29,468.47,427.13,72673,3269578101.0,9.45,1.28,5.6,1.58
